edge_id,lat_start,lon_start,lat_end,lon_end
-103176785#0,28.628384341273257,77.21776912934602,28.628389650568764,77.2174117261389
-103176785#1,28.62898790036488,77.21781168382908,28.628487960148835,77.2178384959798
-103176785#2,28.629304856333064,77.21735509001878,28.629108203376536,77.2176941552381
-103176793#0,28.630567201367366,77.21289879624116,28.631696020878913,77.21316526903422
-103176793#1,28.629906449085137,77.21156253278468,28.630499201083623,77.21287476835937
-103176793#2,28.629505833369,77.21167879224875,28.629796073915433,77.21151440294688
-103176793#3,28.62936203508133,77.21176014505107,28.62938962853486,77.21174456590369
-103505905#1,28.591673175961077,77.24303626637713,28.592716298866662,77.24198870244047
-103505905#2,28.59159554290606,77.24319122985335,28.59159701238447,77.24315149464536
-1036372984#0,28.589102867429506,77.25714490294587,28.58777921033119,77.25717907679467
-1042527093,28.58961470199216,77.24473334689658,28.591743468964463,77.24390832801117
-1042816605#0,28.60306131065356,77.19111749335919,28.602577323558307,77.19230600629297
-1042816605#11,28.605943292701536,77.18766127194239,28.605613356590975,77.18804500218273
-1042816605#2,28.603363012403832,77.19070589771528,28.603153297699176,77.19097524353512
-1042816605#3,28.60364326610926,77.19035959565068,28.603450844361323,77.1905974025981
-1042816605#4,28.60387885339961,77.19006369020428,28.603731209486487,77.19024977313704
-1042816605#5,28.60408543799646,77.18980368200826,28.603965797768787,77.18995425544072
-1042816605#6,28.60456870112469,77.18924534416907,28.604171377816193,77.1897005649534
-1042816605#7,28.60521349919197,77.18850651842916,28.604660078906743,77.18914070309367
-1042816605#8,28.605431458249754,77.18825716848318,28.60530496666381,77.1884018779433
-1042816605#9,28.60551007329572,77.18816616617376,28.605508785760133,77.18816767312663
-1053579112#1,28.604402817474163,77.19576307939829,28.60379049090861,77.19638331621186
-1053580364,28.60417114436074,77.19685234420446,28.603921635542335,77.19628605310325
-1053851211#12,28.616942305036282,77.21395442116268,28.616882275610745,77.21539145093939
-1053851211#2,28.61682657583487,77.21643602085953,28.61675318904895,77.217888205701
-1053851211#4,28.61686937175502,77.21563433730446,28.61683439357168,77.21628904331125
-1053851211#5,28.61687588554844,77.21551187290244,28.616875761925417,77.21551391536397
-1053851218,28.61027751715592,77.21145637528672,28.609304679927362,77.20928197986397
-1057055330,28.590309079720505,77.24270041450094,28.591609231683417,77.24302918362098
-1057055331,28.590224410729373,77.24263165868241,28.590236766377245,77.24168265023704
-1057067118,28.60444078226043,77.21950200285475,28.605518250863106,77.22042407818748
-1057067119,28.607977028639855,77.22800719135938,28.606798338961504,77.22764214926137
-1057067120#0,28.605338838588935,77.23355625886336,28.604698600815173,77.23397130334011
-1057067120#1,28.606153359852275,77.23302834114929,28.605455394316014,77.23348071521026
-1057067120#2,28.606797153303678,77.23261090709127,28.606266176881974,77.23295517109185
-1057067121,28.606788362123655,77.23249825445754,28.606557302868403,77.23248099601733
-1057067122,28.60656885219076,77.2315057470294,28.606512377093534,77.23238741439495
-1057067123#0,28.606163460617918,77.23242614600802,28.606430358085532,77.232442321832
-1057067123#1,28.605730373659185,77.23240389947027,28.606033832589592,77.23241890576439
-1057067123#2,28.605222521189653,77.23236320230001,28.605600229693078,77.2323951147909
-1057067124,28.606164427108464,77.23148533690387,28.606116003356174,77.23236573981325
-1057067125,28.605731140878145,77.23146421466853,28.605682729244457,77.23234389855479
-1057067127,28.60657380416033,77.23385609373142,28.60622082866798,77.23305154601184
-1057067133,28.603338184316218,77.23292881327389,28.605152687661473,77.23133839649617
-1057067134,28.605552022024185,77.22908004553801,28.60555114863593,77.22907828899089
-1057067135,28.603200666091283,77.23145570809208,28.60288687942682,77.23218846542947
-1057067136#0,28.603106466202338,77.23146680347287,28.602704930411296,77.23187371091929
-1057067136#1,28.60352986025643,77.23129959496525,28.603212828298073,77.23138010383171
-1057067137,28.603693419814412,77.23150926914481,28.6035868088533,77.23133157273533
-1057067138,28.60318491970891,77.22755843138137,28.603456821155035,77.22875771125709
-1057067140,28.602929004299572,77.22762061121959,28.601715450712042,77.22679080236362
-1057067141,28.60232608422127,77.22597953910731,28.60344789862521,77.2266435192252
-1057067143,28.6017260105933,77.23071960977025,28.60154275149388,77.23039103150522
-1057067144,28.60030413776493,77.23208284177834,28.60144448615505,77.2320906953952
-1057067146,28.60348530160235,77.2199902494652,28.60200294038649,77.22064601603167
-1057067147,28.602037904649173,77.21884152961172,28.602089713672605,77.21874671888878
-1057067149,28.599656261494037,77.22551123855322,28.599815877041685,77.22565947135921
